Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	MicroRNAs in cancer	8/310	1.164089e-10	1.426009e-09	0	0	5.213245e+01	1.192473e+03	PIK3CA;APC;CCND1;MYC;KRAS;MMP9;TP53;VEGFA
KEGG_2021_Human	Thyroid cancer	5/37	1.376797e-10	1.556840e-09	0	0	2.397837e+02	5.444550e+03	CCND1;MYC;BRAF;KRAS;TP53
KEGG_2021_Human	Prostate cancer	6/97	1.970208e-10	2.068718e-09	0	0	1.092912e+02	2.442408e+03	PIK3CA;CCND1;BRAF;KRAS;MMP9;TP53
KEGG_2021_Human	Acute myeloid leukemia	5/67	3.001334e-09	2.941307e-08	0	0	1.235732e+02	2.425026e+03	PIK3CA;CCND1;MYC;BRAF;KRAS
KEGG_2021_Human	Hepatitis C	6/157	3.650242e-09	3.353660e-08	0	0	6.566556e+01	1.275782e+03	PIK3CA;CCND1;MYC;BRAF;KRAS;TP53
KEGG_2021_Human	Melanoma	5/72	4.336433e-09	3.541420e-08	0	0	1.143226e+02	2.201421e+03	PIK3CA;CCND1;BRAF;KRAS;TP53
KEGG_2021_Human	Non-small cell lung cancer	5/72	4.336433e-09	3.541420e-08	0	0	1.143226e+02	2.201421e+03	PIK3CA;CCND1;BRAF;KRAS;TP53
KEGG_2021_Human	Glioma	5/75	5.340558e-09	4.131906e-08	0	0	1.094066e+02	2.083970e+03	PIK3CA;CCND1;BRAF;KRAS;TP53
KEGG_2021_Human	Kaposi sarcoma-associated herpesvirus infection	6/193	1.259200e-08	9.255121e-08	0	0	5.292781e+01	9.627676e+02	PIK3CA;CCND1;MYC;KRAS;TP53;VEGFA
KEGG_2021_Human	AGE-RAGE signaling pathway in diabetic complications	5/100	2.298253e-08	1.608777e-07	0	0	8.051417e+01	1.416126e+03	SMAD4;PIK3CA;CCND1;KRAS;VEGFA
